        1         1   10.91509       120         2          4   2.481069        427       .017         4         0          0         0  
        0         0    14.4532        36         5         25   22.15686   840.9695       .022         1         0          4         0  
        0         1   8.517193         6         2          4   1.510539   43.64033   .1166991         1         0          0         0  
        1         0   14.64903       168         3          9   14.31405   561.3594       .085         1         1          0         0  
        1         0   13.18063        24         2          4     26.844        220       .138         5         0          0         0  
        0         0   7.600903        12         3          9    1.38236         35       .155         3         0          0         0  
        0         1   13.08154       288         2          4   10.08095   352.6092       .057         3         0          0         0  
        0         1   7.313221        96         3          9   17.22536         32       .064         5         0          1         0  
        1         0   15.20181       156         5         25   8.300904   369.6616   .1372163         4         1          3         1  
        0         0   13.21767        10         2          4   25.55514   302.6208       .197         4         0          0         0  
        0         1    12.7513         7         3          9   88.91582   1000.853   .1226924         5         0          3         0  
        0         1   14.51861         6         2          4   3.816661   129.6902       .016         3         0          2         0  
        0         1   13.90169       168         4         16  -11.82469   831.3969        .27         2         0          0         0  
        0         1   14.84513        84         2          4        2.1        185   .1311947         5         1          3         0  
        0         1   13.71015        36         4         16  -4.772206       1362       .273         5         0          0         0  
        1         0   10.91509        12         3          9   15.22328         48       .033         5         1          3         1  
        0         1   13.83109        12         4         16    .474448         95       .131         6         0          1         0  
        0         0   13.21767       240         2          4   10.08095   352.6092       .057         3         1          0         0  
        0         0   13.38473       252         7         49    6.53981       1307       .089         4         0          0         0  
        0         1   13.69898       108         3          9   29.97111   42.23304       .131         2         1          0         0  
        0         0   13.74283        36         4         16   18.48501        154       .393         5         1          2         0  
        0         1   11.77529        84         3          9   .9503051   43.64033       .108         4         0          1         0  
        0         1   11.99226         3         2          4   33.04722         21   .1396118         2         0          0         0  
        0         0   10.49127         6         3          9   26.25489   265.3056        .19         2         0          0         0  
        0         1   15.55598       192         6         36   20.36199   42.23304       .086         4         0          0         0  
        0         1   14.65535       180         3          9   35.51652    439.328       .059         4         0          0         0  
        0         1   8.517193         6         3          9   -12.5331   831.3969        .27         2         0          0         0  
        0         1   9.615806         6         2          4    .719666        297       .274         5         0          0         0  
        0         1    13.3801        72         5         25    1.38236         35       .155         4         0          0         0  
        1         1   14.84513        40         3          9   13.87732         21   .1405336         5         1          3         0  
        0         1   14.15198        36         5         25   25.94152         33       .065         5         0          0         0  
        1         0   7.313221         6         2          4   19.73336   225.9576       .174         1         0          0         0  
        0         1   12.46072        82         2          4   16.22666   212.3206        .11         3         0          0         0  
        0         0   12.30138        16         4         16  -.9503782    490.594       .139         4         0          0         0  
        1         0   15.06827       154         3          9   18.68695         18   .1358359         4         1          3         1  
        1         1   14.84513        24         2          4   5.048175   129.6902   .0292219         1         1          2         0  
        0         1   13.88783        84         5         25   27.16103         33       .065         5         0          4         0  
        0         1     12.014        60         4         16   1.318673         95       .076         2         0          4         0  
        0         0    13.3503       192         3          9   7.574443        648   .1439084         4         0          0         0  
        0         1   13.91082        12         2          4   .5579462   252.9573        .02         3         0          0         0  
        0         0   14.58098        25         4         16   16.53318        154       .393         5         1          2         0  
        1         0   7.130899         6         2          4   23.15467   212.3206   .1349948         1         0          0         0  
        0         0   12.63623        35         4         16   .3060574   30.86709        .14         1         0          0         0  
        1         0   13.30468        84         5         25   215.2402   58.91595   .0683366         2         0          2         0  
        0         1   11.99898        60         2          4    2.23414        427       .017         5         0          2         0  
        0         1    12.0137        12         2          4   .7796296   252.9573        .02         1         0          0         0  
        0         1   14.55745        72         4         16  -4.772206       1362       .273         5         0          0         0  
