y	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	un1	un	cluster
1	0	13.1806	24	2	4	26.844	220	0.138	5	0	0	0	SRI
0	0	7.6009	12	3	9	1.38236	35	0.155	3	0	0	0	UGA
0	1	13.0815	288	2	4	10.0809	352.609	0.057	3	0	0	0	PHL
0	1	7.31322	96	3	9	17.2254	32	0.064	5	0	1	0	BUR
1	0	15.2018	156	5	25	8.3009	369.662	0.137216	4	1	3	1	MOZ
0	0	13.2177	10	2	4	25.5551	302.621	0.197	4	0	0	0	NIC
0	1	12.7513	7	3	9	88.9158	1000.85	0.122692	5	0	3	0	CRO
0	1	14.5186	6	2	4	3.81666	129.69	0.016	3	0	2	0	IND
0	1	13.9017	168	4	16	-11.8247	831.397	0.27	2	0	0	0	IRQ
0	1	14.8451	84	2	4	2.1	185	0.131195	5	1	3	0	ANG
0	1	13.7102	36	4	16	-4.77221	1362	0.273	5	0	0	0	IRQ
1	0	10.9151	12	3	9	15.2233	48	0.033	5	1	3	1	HAI
0	1	13.8311	12	4	16	0.474448	95	0.131	6	0	1	0	ZAI
0	0	13.2177	240	2	4	10.0809	352.609	0.057	3	1	0	0	PHL
0	0	13.3847	252	7	49	6.53981	1307	0.089	4	0	0	0	COL
0	1	13.699	108	3	9	29.9711	42.233	0.131	2	1	0	0	SUD
0	0	13.7428	36	4	16	18.485	154	0.393	5	1	2	0	LBR
0	1	11.7753	84	3	9	0.950305	43.6403	0.108	4	0	1	0	IDN
0	1	11.9923	3	2	4	33.0472	21	0.139612	2	0	0	0	RWA
0	0	10.4913	6	3	9	26.2549	265.306	0.19	2	0	0	0	ALG
0	1	15.556	192	6	36	20.362	42.233	0.086	4	0	0	0	SUD
0	1	14.6554	180	3	9	35.5165	439.328	0.059	4	0	0	0	TUR
0	1	8.51719	6	3	9	-12.5331	831.397	0.27	2	0	0	0	IRQ
0	1	9.61581	6	2	4	0.719666	297	0.274	5	0	0	0	IDN
0	1	13.3801	72	5	25	1.38236	35	0.155	4	0	0	0	UGA
1	1	14.8451	40	3	9	13.8773	21	0.140534	5	1	3	0	RWA
0	1	14.152	36	5	25	25.9415	33	0.065	5	0	0	0	SOM
1	0	7.31322	6	2	4	19.7334	225.958	0.174	1	0	0	0	BOL
0	1	12.4607	82	2	4	16.2267	212.321	0.11	3	0	0	0	GUA
0	0	12.3014	16	4	16	-0.950378	490.594	0.139	4	0	0	0	IRN
1	0	15.0683	154	3	9	18.687	18	0.135836	4	1	3	1	CAM
1	1	14.8451	24	2	4	5.04817	129.69	0.0292219	1	1	2	0	IND
0	1	13.8878	84	5	25	27.161	33	0.065	5	0	4	0	SOM
0	1	12.014	60	4	16	1.31867	95	0.076	2	0	4	0	ZAI
0	0	13.3503	192	3	9	7.57444	648	0.143908	4	0	0	0	PER
0	1	13.9108	12	2	4	0.557946	252.957	0.02	3	0	0	0	CHI
0	0	14.581	25	4	16	16.5332	154	0.393	5	1	2	0	LBR
1	0	7.1309	6	2	4	23.1547	212.321	0.134995	1	0	0	0	GUA
0	0	12.6362	35	4	16	0.306057	30.8671	0.14	1	0	0	0	BRM
1	0	13.3047	84	5	25	215.24	58.916	0.0683366	2	0	2	0	YEM
0	1	11.999	60	2	4	2.23414	427	0.017	5	0	2	0	IND
0	1	12.0137	12	2	4	0.77963	252.957	0.02	1	0	0	0	CHI
0	1	14.5574	72	4	16	-4.77221	1362	0.273	5	0	0	0	IRQ
