individus	death.date	 postinfection.days	treatment	exposition	carriers	period	hours	infected.PCR	gametocyt	planteffect	status
731	03/10/2013	9	lupilina	yes	4	amorning	216	no	17	M	1
732	03/10/2013	9	lupilina	yes	4	amorning	216	yes	17	M	1
733	03/10/2013	9	lupilina	yes	4	amorning	216	no	17	M	1
734	03/10/2013	9	thevetia	yes	4	amorning	216	no	17	M	1
735	03/10/2013	9	thevetia	yes	4	amorning	216	no	17	M	1
736	03/10/2013	9	thevetia	yes	4	amorning	216	no	17	M	1
737	03/10/2013	9	thevetia	yes	4	amorning	216	no	17	M	1
738	03/10/2013	9	lannea	yes	4	evening	224	no	17	M	1
739	03/10/2013	9	lannea	yes	4	evening	224	no	17	M	1
740	03/10/2013	9	thevetia	yes	4	evening	224	no	17	M	1
741	03/10/2013	9	thevetia	yes	4	evening	224	yes	17	M	1
742	03/10/2013	9	thevetia	yes	4	evening	224	no	17	M	1
743	03/10/2013	9	thevetia	yes	4	evening	224	no	17	M	1
744	03/10/2013	9	thevetia	yes	4	evening	224	no	17	M	1
745	03/10/2013	9	thevetia	yes	4	evening	224	no	17	M	1
746	03/10/2013	9	thevetia	yes	4	evening	224	no	17	M	1
758	04/10/2013	10	glucose	yes	4	amorning	240	no	17	M	1
759	04/10/2013	10	glucose	yes	4	amorning	240	no	17	M	1
760	04/10/2013	10	glucose	yes	4	amorning	240	no	17	M	1
761	04/10/2013	10	glucose	yes	4	amorning	240	no	17	M	1
762	04/10/2013	10	glucose	yes	4	amorning	240	no	17	M	1
763	04/10/2013	10	glucose	yes	4	amorning	240	no	17	M	1
746	04/10/2013	10	lannea	yes	4	amorning	240	no	17	M	1
747	04/10/2013	10	lannea	yes	4	amorning	240	no	17	M	1
748	04/10/2013	10	lupilina	yes	4	amorning	240	yes	17	M	1
749	04/10/2013	10	lupilina	yes	4	amorning	240	no	17	M	1
750	04/10/2013	10	lupilina	yes	4	amorning	240	no	17	M	1
751	04/10/2013	10	lupilina	yes	4	amorning	240	yes	17	M	1
752	04/10/2013	10	thevetia	yes	4	amorning	240	no	17	M	1
753	04/10/2013	10	thevetia	yes	4	amorning	240	no	17	M	1
754	04/10/2013	10	thevetia	yes	4	amorning	240	no	17	M	1
755	04/10/2013	10	thevetia	yes	4	amorning	240	no	17	M	1
769	04/10/2013	10	glucose	yes	4	evening	248	no	17	M	1
770	04/10/2013	10	glucose	yes	4	evening	248	no	17	M	1
771	04/10/2013	10	glucose	yes	4	evening	248	yes	17	M	1
764	04/10/2013	10	lannea	yes	4	evening	248	yes	17	M	1
765	04/10/2013	10	lannea	yes	4	evening	248	yes	17	M	1
766	04/10/2013	10	lannea	yes	4	evening	248	no	17	M	1
767	04/10/2013	10	lannea	yes	4	evening	248	yes	17	M	1
768	04/10/2013	10	lupilina	yes	4	evening	248	no	17	M	1
779	05/10/2013	11	glucose	yes	4	amorning	264	no	17	M	1
780	05/10/2013	11	glucose	yes	4	amorning	264	no	17	M	1
781	05/10/2013	11	glucose	yes	4	amorning	264	no	17	M	1
782	05/10/2013	11	glucose	yes	4	amorning	264	no	17	M	1
773	05/10/2013	11	lupilina	yes	4	amorning	264	yes	17	M	1
774	05/10/2013	11	lupilina	yes	4	amorning	264	yes	17	M	1
775	05/10/2013	11	thevetia	yes	4	amorning	264	yes	17	M	1
776	05/10/2013	11	thevetia	yes	4	amorning	264	no	17	M	1
777	05/10/2013	11	thevetia	yes	4	amorning	264	no	17	M	1
778	05/10/2013	11	thevetia	yes	4	amorning	264	no	17	M	1
779	05/10/2013	11	thevetia	yes	4	amorning	264	no	17	M	1
792	05/10/2013	11	glucose	yes	4	evening	272	no	17	M	1
793	05/10/2013	11	glucose	yes	4	evening	272	no	17	M	1
786	05/10/2013	11	lannea	yes	4	evening	272	no	17	M	1
787	05/10/2013	11	lupilina	yes	4	evening	272	no	17	M	1
788	05/10/2013	11	lupilina	yes	4	evening	272	yes	17	M	1
789	05/10/2013	11	lupilina	yes	4	evening	272	no	17	M	1
790	05/10/2013	11	thevetia	yes	4	evening	272	no	17	M	1
791	05/10/2013	11	thevetia	yes	4	evening	272	no	17	M	1
792	05/10/2013	11	thevetia	yes	4	evening	272	no	17	M	1
793	05/10/2013	11	thevetia	yes	4	evening	272	no	17	M	1
794	05/10/2013	11	thevetia	yes	4	evening	272	no	17	M	1
803	06/10/2013	12	glucose	yes	4	amorning	288	no	17	M	1
804	06/10/2013	12	glucose	yes	4	amorning	288	no	17	M	1
805	06/10/2013	12	glucose	yes	4	amorning	288	no	17	M	1
806	06/10/2013	12	glucose	yes	4	amorning	288	no	17	M	1
797	06/10/2013	12	lannea	yes	4	amorning	288	no	17	M	1
798	06/10/2013	12	lupilina	yes	4	amorning	288	yes	17	M	1
799	06/10/2013	12	thevetia	yes	4	amorning	288	yes	17	M	1
800	06/10/2013	12	thevetia	yes	4	amorning	288	yes	17	M	1
801	06/10/2013	12	thevetia	yes	4	amorning	288	yes	17	M	1
802	06/10/2013	12	thevetia	yes	4	amorning	288	yes	17	M	1
818	06/10/2013	12	glucose	yes	4	evening	296	no	17	M	1
819	06/10/2013	12	lannea	yes	4	evening	296	no	17	M	1
820	06/10/2013	12	lannea	yes	4	evening	296	yes	17	M	1
810	06/10/2013	12	lupilina	yes	4	evening	296	yes	17	M	1
811	06/10/2013	12	lupilina	yes	4	evening	296	no	17	M	1
812	06/10/2013	12	lupilina	yes	4	evening	296	no	17	M	1
813	06/10/2013	12	lupilina	yes	4	evening	296	no	17	M	1
814	06/10/2013	12	lupilina	yes	4	evening	296	yes	17	M	1
815	06/10/2013	12	lupilina	yes	4	evening	296	yes	17	M	1
816	06/10/2013	12	lupilina	yes	4	evening	296	no	17	M	1
817	06/10/2013	12	thevetia	yes	4	evening	296	yes	17	M	1
830	07/10/2013	13	glucose	yes	4	amorning	312	no	17	M	1
831	07/10/2013	13	glucose	yes	4	amorning	312	yes	17	M	1
832	07/10/2013	13	glucose	yes	4	amorning	312	no	17	M	1
833	07/10/2013	13	glucose	yes	4	amorning	312	no	17	M	1
822	07/10/2013	13	lannea	yes	4	amorning	312	no	17	M	1
823	07/10/2013	13	lupilina	yes	4	amorning	312	yes	17	M	1
824	07/10/2013	13	lupilina	yes	4	amorning	312	no	17	M	1
825	07/10/2013	13	lupilina	yes	4	amorning	312	no	17	M	1
826	07/10/2013	13	thevetia	yes	4	amorning	312	yes	17	M	1
827	07/10/2013	13	thevetia	yes	4	amorning	312	no	17	M	1
828	07/10/2013	13	thevetia	yes	4	amorning	312	yes	17	M	1
829	07/10/2013	13	thevetia	yes	4	amorning	312	yes	17	M	1
843	07/10/2013	13	glucose	yes	4	evening	320	no	17	M	1
844	07/10/2013	13	glucose	yes	4	evening	320	yes	17	M	1
834	07/10/2013	13	lannea	yes	4	evening	320	no	17	M	1
836	07/10/2013	13	lannea	yes	4	evening	320	yes	17	M	1
837	07/10/2013	13	lannea	yes	4	evening	320	no	17	M	1
838	07/10/2013	13	lannea	yes	4	evening	320	no	17	M	1
839	07/10/2013	13	lupilina	yes	4	evening	320	yes	17	M	1
840	07/10/2013	13	lupilina	yes	4	evening	320	yes	17	M	1
841	07/10/2013	13	thevetia	yes	4	evening	320	yes	17	M	1
842	07/10/2013	13	thevetia	yes	4	evening	320	yes	17	M	1
1	NA	14	glucose	NA	4	NA	336	NA	17	M	0
2	NA	14	glucose	NA	4	NA	336	NA	17	M	0
3	NA	14	glucose	NA	4	NA	336	NA	17	M	0
4	NA	14	glucose	NA	4	NA	336	NA	17	M	0
5	NA	14	glucose	NA	4	NA	336	NA	17	M	0
6	NA	14	glucose	NA	4	NA	336	NA	17	M	0
7	NA	14	glucose	NA	4	NA	336	NA	17	M	0
8	NA	14	glucose	NA	4	NA	336	NA	17	M	0
9	NA	14	glucose	NA	4	NA	336	NA	17	M	0
10	NA	14	glucose	NA	4	NA	336	NA	17	M	0
11	NA	14	glucose	NA	4	NA	336	NA	17	M	0
12	NA	14	glucose	NA	4	NA	336	NA	17	M	0
13	NA	14	glucose	NA	4	NA	336	NA	17	M	0
14	NA	14	glucose	NA	4	NA	336	NA	17	M	0
15	NA	14	glucose	NA	4	NA	336	NA	17	M	0
16	NA	14	glucose	NA	4	NA	336	NA	17	M	0
17	NA	14	glucose	NA	4	NA	336	NA	17	M	0
18	NA	14	glucose	NA	4	NA	336	NA	17	M	0
19	NA	14	glucose	NA	4	NA	336	NA	17	M	0
20	NA	14	glucose	NA	4	NA	336	NA	17	M	0
21	NA	14	glucose	NA	4	NA	336	NA	17	M	0
22	NA	14	glucose	NA	4	NA	336	NA	17	M	0
23	NA	14	glucose	NA	4	NA	336	NA	17	M	0
24	NA	14	glucose	NA	4	NA	336	NA	17	M	0
25	NA	14	glucose	NA	4	NA	336	NA	17	M	0
26	NA	14	glucose	NA	4	NA	336	NA	17	M	0
27	NA	14	glucose	NA	4	NA	336	NA	17	M	0
1	NA	14	lannea	NA	4	NA	336	NA	17	M	0
2	NA	14	lannea	NA	4	NA	336	NA	17	M	0
3	NA	14	lannea	NA	4	NA	336	NA	17	M	0
4	NA	14	lannea	NA	4	NA	336	NA	17	M	0
5	NA	14	lannea	NA	4	NA	336	NA	17	M	0
6	NA	14	lannea	NA	4	NA	336	NA	17	M	0
7	NA	14	lannea	NA	4	NA	336	NA	17	M	0
8	NA	14	lannea	NA	4	NA	336	NA	17	M	0
9	NA	14	lannea	NA	4	NA	336	NA	17	M	0
10	NA	14	lannea	NA	4	NA	336	NA	17	M	0
11	NA	14	lannea	NA	4	NA	336	NA	17	M	0
12	NA	14	lannea	NA	4	NA	336	NA	17	M	0
13	NA	14	lannea	NA	4	NA	336	NA	17	M	0
14	NA	14	lannea	NA	4	NA	336	NA	17	M	0
15	NA	14	lannea	NA	4	NA	336	NA	17	M	0
16	NA	14	lannea	NA	4	NA	336	NA	17	M	0
17	NA	14	lannea	NA	4	NA	336	NA	17	M	0
18	NA	14	lannea	NA	4	NA	336	NA	17	M	0
19	NA	14	lannea	NA	4	NA	336	NA	17	M	0
20	NA	14	lannea	NA	4	NA	336	NA	17	M	0
21	NA	14	lannea	NA	4	NA	336	NA	17	M	0
22	NA	14	lannea	NA	4	NA	336	NA	17	M	0
23	NA	14	lannea	NA	4	NA	336	NA	17	M	0
24	NA	14	lannea	NA	4	NA	336	NA	17	M	0
25	NA	14	lannea	NA	4	NA	336	NA	17	M	0
26	NA	14	lannea	NA	4	NA	336	NA	17	M	0
27	NA	14	lannea	NA	4	NA	336	NA	17	M	0
28	NA	14	lannea	NA	4	NA	336	NA	17	M	0
29	NA	14	lannea	NA	4	NA	336	NA	17	M	0
30	NA	14	lannea	NA	4	NA	336	NA	17	M	0
31	NA	14	lannea	NA	4	NA	336	NA	17	M	0
32	NA	14	lannea	NA	4	NA	336	NA	17	M	0
1	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
2	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
3	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
4	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
5	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
6	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
7	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
8	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
9	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
10	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
11	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
12	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
13	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
14	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
15	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
16	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
17	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
18	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
19	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
20	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
21	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
22	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
23	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
24	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
25	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
26	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
27	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
28	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
29	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
30	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
31	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
32	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
33	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
34	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
35	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
36	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
37	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
38	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
39	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
40	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
41	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
42	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
43	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
44	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
45	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
46	NA	14	lupilina	NA	4	NA	336	NA	17	M	0
1	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
2	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
3	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
4	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
5	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
6	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
7	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
8	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
9	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
10	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
11	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
12	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
13	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
14	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
15	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
16	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
17	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
18	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
19	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
20	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
21	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
22	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
23	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
24	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
25	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
26	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
27	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
28	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
29	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
30	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
31	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
32	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
33	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
34	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
35	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
36	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
37	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
38	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
39	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
40	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
41	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
42	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
43	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
44	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
45	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
46	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
47	NA	14	thevetia	NA	4	NA	336	NA	17	M	0
1159	01/11/2013	3	thevetia	yes	1	amorning	72	no	21	L	1
1161	03/11/2013	5	thevetia	yes	1	evening	128	no	21	L	1
1670	06/12/2013	3	thevetia	yes	3	amorning	72	yes	19	M	1
1643	08/12/2013	5	thevetia	yes	3	evening	128	no	19	M	1
2181	10/01/2014	3	thevetia	yes	1	amorning	72	no	21	L	1
2125	12/01/2014	5	thevetia	yes	1	evening	128	no	21	L	1
