ind	treatment	hours	carr	rep	exposition	death	infection	group	tm	logcopygene	treatment2
363	thevetia	872	25	1	exposeduninfected	36	no	expuninf	69.8	1.843855423	thevetiaexpuninf
371	thevetia	944	3	2	exposeduninfected	39	no	expuninf	72.7	1.861534411	thevetiaexpuninf
372	thevetia	984	25	2	exposeduninfected	41	no	expuninf	76.7	1.884795364	thevetiaexpuninf
374	thevetia	1008	3	2	exposeduninfected	42	no	expuninf	72.3	1.859138297	thevetiaexpuninf
378	thevetia	1056	25	1	exposeduninfected	44	no	expuninf	73.1	1.863917377	thevetiaexpuninf
7	thevetia	24	25	2	exposedinfected	1	yes	infected	76.6	1.88422877	thevetiainfected
33	thevetia	96	25	2	exposedinfected	4	yes	infected	77	1.886490725	thevetiainfected
34	thevetia	96	25	2	exposedinfected	4	yes	infected	77.3	1.888179494	thevetiainfected
106	thevetia	176	25	1	exposedinfected	7	yes	infected	76.4	1.883093359	thevetiainfected
155	thevetia	240	25	1	exposedinfected	10	yes	infected	77.1	1.887054378	thevetiainfected
174	thevetia	288	25	1	exposedinfected	12	yes	infected	76.7	1.884795364	thevetiainfected
206	thevetia	344	25	2	exposedinfected	14	yes	infected	76.8	1.88536122	thevetiainfected
232	thevetia	416	25	1	exposedinfected	17	yes	infected	76.8	1.88536122	thevetiainfected
238	thevetia	440	25	1	exposedinfected	18	yes	infected	77.2	1.8876173	thevetiainfected
239	thevetia	440	25	1	exposedinfected	18	yes	infected	77.2	1.8876173	thevetiainfected
242	thevetia	456	3	1	exposedinfected	19	yes	infected	77.2	1.8876173	thevetiainfected
254	thevetia	488	25	2	exposedinfected	20	yes	infected	77.2	1.8876173	thevetiainfected
273	thevetia	560	25	2	exposedinfected	23	yes	infected	76.8	1.88536122	thevetiainfected
283	thevetia	600	25	1	exposedinfected	25	yes	infected	76.8	1.88536122	thevetiainfected
284	thevetia	600	25	2	exposedinfected	25	yes	infected	76.8	1.88536122	thevetiainfected
292	thevetia	624	25	2	exposedinfected	26	yes	infected	76.7	1.884795364	thevetiainfected
319	thevetia	704	3	1	exposedinfected	29	yes	infected	77	1.886490725	thevetiainfected
333	thevetia	744	3	2	exposedinfected	31	yes	infected	77	1.886490725	thevetiainfected
373	thevetia	992	25	2	exposedinfected	41	yes	infected	76.7	1.884795364	thevetiainfected
379	thevetia	1104	3	1	exposedinfected	46	yes	infected	77	1.886490725	thevetiainfected
