year	congress	party	district	statenam	name	ngirls	nboys	totchi	anygirls	propgirls	rgroup	statabb	statalph	region	repub	srvlng	female	white	bday	age	demvote	medinc	perf	perw	perhs	percol	perur	alabort	moreserv	moredef	morecrimesp	protgay	dr1per	dr2per	dr3per	dr4per	dr5per	aauw	rtl	nowtot	now1	now2	now3	now4	now5	now6	now7	now8	now9	now10	now11	now12	now13	now14	now15	now16	now17	now18	now19	now20
"1997-1998"	105.0	2.0	3.0	"TENNESS"	"WAMP, ZACH"	1	1	2.0	1.0	0.5	1.0	"TN"	43.0	"6"	1.0	3.0	0.0	1.0	1957-10-28	39.0	0.46	29557	0.53212255	0.8736569	0.675	0.16	0.6465381	0.3266129	0.35164836	0.24770643	0.63492066	0.5067568	0.76	0.06	0.0	0.03	0.14	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	1.0	35.0	"CALIFOR"	"WATERS, MAXINE"	1	1	2.0	1.0	0.5	1.0	"CA"	5.0	"9"	0.0	7.0	1.0	0.0	1938-08-31	58.0	0.84	26853	0.51669705	0.21283732	0.571	0.101	0.9996759	0.56766915	0.37880987	0.23116884	0.63414633	0.67287785	0.33	0.32	0.02	0.08	0.25	100	0	95	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	2.0	3.0	"OKLAHOM"	"WATKINS, WES"	2	1	3.0	1.0	0.6666667	1.0	"OK"	37.0	"7"	1.0	1.0	0.0	1.0	1938-12-15	58.0	0.47	23106	0.524756	0.8338871	0.667	0.133	0.43521774	0.2857143	0.0	0.14285715	0.5714286	0.71428573	0.71	0.07	0.0	0.03	0.19	25	100	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"1997-1998"	105.0	1.0	12.0	"NORTH C"	"WATT, MELVIN LU"	0	2	2.0	0.0	0.0	1.0	"NC"	34.0	"5"	0.0	5.0	0.0	0.0	1945-08-26	51.0	0.69	27977	0.54625964	0.41798413	0.65599996	0.143	0.86291313	0.2704918	0.44594595	0.20408164	0.75	0.6625	0.69	0.1	0.01	0.05	0.15	100	5	80	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	2.0	4.0	"OKLAHOM"	"WATTS, JULIUS C."	3	2	5.0	1.0	0.6	1.0	"OK"	37.0	"7"	1.0	3.0	0.0	0.0	1957-11-18	39.0	0.4	29639	0.50785166	0.841603	0.775	0.187	0.7420217	0.2857143	0.0	0.14285715	0.5714286	0.71428573	0.71	0.07	0.0	0.03	0.19	25	100	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"1997-1998"	105.0	1.0	29.0	"CALIFOR"	"WAXMAN, HENRY A."	1	1	2.0	1.0	0.5	4.0	"CA"	5.0	"9"	0.0	23.0	0.0	1.0	1939-09-12	57.0	0.66	55001	0.5097838	0.8375166	0.86300004	0.435	0.99968505	0.56766915	0.37880987	0.23116884	0.63414633	0.67287785	0.33	0.32	0.02	0.08	0.25	100	0	95	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	2.0	7.0	"PENNSYL"	"WELDON, CURT"	3	2	5.0	1.0	0.6	1.0	"PA"	39.0	"2"	1.0	11.0	0.0	1.0	1947-07-22	49.0	0.45	49477	0.53028345	0.93827796	0.84599996	0.31	0.9528817	0.42366412	0.41968912	0.17213115	0.47565544	0.6730769	0.48	0.27	0.01	0.06	0.18	13	90	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"1997-1998"	105.0	2.0	15.0	"FLORIDA"	"WELDON, DAVID J."	1	0	1.0	1.0	1.0	1.0	"FL"	10.0	"5"	1.0	3.0	0.0	1.0	1953-08-31	43.0	0.41	34313	0.51235396	0.9021491	0.79800004	0.189	0.82218736	0.3923445	0.3932927	0.274359	0.61662817	0.59574467	0.48	0.26	0.01	0.07	0.18	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	11.0	"ILLINOI"	"WELLER, GERALD C. (JERRY)"	0	0	0.0	0.0	0.0	1.0	"IL"	14.0	"3"	1.0	3.0	0.0	1.0	1957-07-07	39.0	0.51	39073	0.5209091	0.87400794	0.758	0.134	0.79640365	0.44573644	0.4278846	0.2007874	0.66159695	0.6785714	0.46	0.29	0.0	0.06	0.19	0	100	15	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0
"1997-1998"	105.0	1.0	19.0	"FLORIDA"	"WEXLER, ROBERT"	2	1	3.0	1.0	0.6666667	4.0	"FL"	10.0	"5"	0.0	1.0	0.0	1.0	1961-01-02	36.0	0.65	40691	0.5347168	0.94776887	0.82699996	0.22799999	0.9790158	0.3923445	0.3932927	0.274359	0.61662817	0.59574467	0.48	0.26	0.01	0.07	0.18	100	5	95	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	2.0	"RHODE I"	"WEYGAND, ROBERT A."	2	1	3.0	1.0	0.6666667	2.0	"RI"	40.0	"1"	0.0	1.0	0.0	1.0	1948-05-10	48.0	0.59	39454	0.52916986	0.9003342	0.73300004	0.207	0.8068284						0.24	0.51	0.02	0.04	0.19	63	90	70	1	1	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1
"1997-1998"	105.0	2.0	1.0	"WASHING"	"WHITE, RICHARD"	3	1	4.0	1.0	0.75	1.0	"WA"	48.0	"9"	1.0	3.0	0.0	1.0	1953-11-06	43.0	0.51	45857	0.5136181	0.91635615	0.90699995	0.312	0.9023717	0.5913978	0.26923078	0.20555556	0.52910054	0.7079646	0.39	0.2	0.04	0.05	0.31	38	53	25	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0
"1997-1998"	105.0	2.0	1.0	"KENTUCK"	"WHITFIELD, EDWARD"	1	0	1.0	1.0	1.0	1.0	"KY"	18.0	"6"	1.0	3.0	0.0	1.0	1943-05-25	53.0	0.47	24800	0.5197169	0.9141277	0.62	0.095	0.38596544	0.2		0.0	0.8125	0.6	0.61	0.14	0.01	0.05	0.19	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
