year	congress	party	district	statenam	name	ngirls	nboys	totchi	anygirls	propgirls	rgroup	statabb	statalph	region	repub	srvlng	female	white	bday	age	demvote	medinc	perf	perw	perhs	percol	perur	alabort	moreserv	moredef	morecrimesp	protgay	dr1per	dr2per	dr3per	dr4per	dr5per	aauw	rtl	nowtot	now1	now2	now3	now4	now5	now6	now7	now8	now9	now10	now11	now12	now13	now14	now15	now16	now17	now18	now19	now20
"1997-1998"	105.0	1.0	1.0	"HAWAII"	"ABERCROMBIE, NEIL"	0	0	0.0	0.0	0.0	0.0	"HI"	12.0	"9"	0.0	7.0	0.0	1.0	1938-06-26	58.0	0.57	46389	0.5000151	0.2909628	0.814	0.266	0.9979499											100	10	90	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	5.0	"NEW YOR"	"ACKERMAN, GARY L."	1	2	3.0	1.0	0.33333334	4.0	"NY"	33.0	"2"	0.0	15.0	0.0	1.0	1942-11-19	54.0	0.6	57915	0.5283446	0.84014803	0.839	0.348	0.9934435	0.56880736	0.4726477	0.17092338	0.588551	0.7051282	0.3	0.38	0.0	0.12	0.19	88	5	90	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
"1997-1998"	105.0	2.0	4.0	"ALABAMA"	"ADERHOLT, ROBERT B."	0	0	0.0	0.0	0.0	1.0	"AL"	1.0	"6"	1.0	1.0	0.0	1.0	1965-07-22	31.0	0.43	25401	0.5291693	0.92517847	0.577	0.081	0.3419504	0.29707113	0.5	0.31400967	0.5483871	0.53435117	0.69	0.13	0.02	0.04	0.12	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	1.0	1.0	"MAINE"	"ALLEN, THOMAS H."	2	0	2.0	1.0	1.0	1.0	"ME"	20.0	"1"	0.0	1.0	0.0	1.0	1945-04-16	51.0	0.52	36067	0.5252141	0.9851513	0.817	0.22399999	0.4894656						0.58	0.24	0.02	0.03	0.2	100	5	95	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	1.0	"NEW JER"	"ANDREWS, ROBERT E."	2	0	2.0	1.0	1.0	1.0	"NJ"	31.0	"2"	0.0	7.0	0.0	1.0	1957-08-04	39.0	0.59	40674	0.52912766	0.7835612	0.742	0.169	0.9607588	0.5555556	0.37719297	0.16475096	0.5729927	0.70714283	0.31	0.37	0.02	0.09	0.2	100	6	90	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
"1997-1998"	105.0	2.0	7.0	"TEXAS"	"ARCHER, W.R."	3	4	7.0	1.0	0.42857143	2.0	"TX"	44.0	"7"	1.0	27.0	0.0	1.0	1928-03-22	68.0	0.28	51258	0.5126253	0.83341545	0.90099996	0.407	0.9580938	0.36551723	0.32517484	0.2549923	0.58533335	0.5652174	0.52	0.28	0.01	0.03	0.15	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	26.0	"TEXAS"	"ARMEY, RICHARD K."	1	4	5.0	1.0	0.2	1.0	"TX"	44.0	"7"	1.0	13.0	0.0	1.0	1940-07-07	56.0	0.3	48733	0.5100261	0.8712366	0.883	0.37	0.9536379	0.36551723	0.32517484	0.2549923	0.58533335	0.5652174	0.52	0.28	0.01	0.03	0.15	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	6.0	"ALABAMA"	"BACHUS, SPENCER"	2	3	5.0	1.0	0.4	1.0	"AL"	1.0	"6"	1.0	5.0	0.0	1.0	1947-12-28	49.0	0.27	38768	0.5293641	0.89700913	0.78900003	0.26299998	0.7724739	0.29707113	0.5	0.31400967	0.5483871	0.53435117	0.69	0.13	0.02	0.04	0.12	0	90	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"1997-1998"	105.0	1.0	6.0	"KENTUCK"	"BAESLER, SCOTTY"	1	1	2.0	1.0	0.5	1.0	"KY"	18.0	"6"	0.0	5.0	0.0	1.0	1941-09-09	55.0	0.46	30482	0.5290591	0.90747553	0.7	0.199	0.63066244	0.2		0.0	0.8125	0.6	0.61	0.14	0.01	0.05	0.19	75	45	55	0	1	0	0	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1
"1997-1998"	105.0	2.0	6.0	"LOUISIA"	"BAKER, RICHARD H."	1	1	2.0	1.0	0.5	1.0	"LA"	19.0	"7"	1.0	11.0	0.0	1.0	1948-05-22	48.0	0.5	29808	0.51637304	0.8343347	0.752	0.199	0.5460128	0.18699187	0.39726028	0.5051546	0.72440946	0.49367088	0.52	0.28	0.0	0.03	0.15	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	1.0	2.0	"MAINE"	"BALDACCI, JOHN E."	0	1	1.0	0.0	0.0	2.0	"ME"	20.0	"1"	0.0	3.0	0.0	1.0	1955-01-30	41.0	0.51	29273	0.518542	0.98289436	0.756	0.147	0.40016267						0.58	0.24	0.02	0.03	0.2	100	5	90	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
"1997-1998"	105.0	2.0	10.0	"NORTH C"	"BALLENGER, CASS"	3	0	3.0	1.0	1.0	1.0	"NC"	34.0	"5"	1.0	11.0	0.0	1.0	1926-12-06	70.0	0.31	32577	0.51805645	0.93692094	0.65400004	0.136	0.29421094	0.2704918	0.44594595	0.20408164	0.75	0.6625	0.69	0.1	0.01	0.05	0.15	0	100	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"1997-1998"	105.0	1.0	5.0	"MICHIGA"	"BARCIA, JAMES A."	0	0	0.0	0.0	0.0	2.0	"MI"	23.0	"3"	0.0	5.0	0.0	1.0	1952-02-25	44.0	0.57	31422	0.5269595	0.8887764	0.73800004	0.107	0.49477586	0.38826185	0.33618233	0.23383084	0.64835167	0.6156863	0.53	0.23	0.01	0.06	0.19	63	90	45	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1
"1997-1998"	105.0	2.0	7.0	"GEORGIA"	"BARR, BOB"	1	3	4.0	1.0	0.25	1.0	"GA"	11.0	"5"	1.0	3.0	0.0	1.0	1948-11-05	48.0	0.4	33046	0.52490747	0.8594456	0.645	0.124	0.53832954	0.34615386	0.44727272	0.2524272	0.62702703	0.6315789	0.69	0.08	0.02	0.05	0.16	0	100	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"1997-1998"	105.0	1.0	5.0	"WISCONS"	"BARRETT, THOMAS M."	1	1	2.0	1.0	0.5	2.0	"WI"	50.0	"3"	0.0	5.0	0.0	1.0	1953-12-08	43.0	0.63	31831	0.5483884	0.6127353	0.763	0.236	1.0	0.37906137	0.27542374	0.15969582	0.47517732	0.7092199	0.5	0.28	0.0	0.02	0.2	88	20	90	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"1997-1998"	105.0	2.0	3.0	"NEBRASK"	"BARRETT, WILLIAM E."	2	2	4.0	1.0	0.5	1.0	"NE"	28.0	"4"	1.0	7.0	0.0	1.0	1929-02-09	67.0	0.29	27357	0.5233988	0.97559565	0.785	0.138	0.43956187	0.35135135	0.23188406	0.12328767	0.7	0.4117647	0.53	0.27	0.01	0.02	0.16	38	90	20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0
"1997-1998"	105.0	2.0	6.0	"MARYLAN"	"BARTLETT, ROSCOE G."	4	6	10.0	1.0	0.4	1.0	"MD"	21.0	"5"	1.0	5.0	0.0	1.0	1926-06-03	70.0	0.38	42229	0.5135131	0.9383709	0.77599996	0.20899999	0.5297965	0.5591398	0.40397352	0.17159763	0.62827224	0.7425743	0.5	0.22	0.03	0.07	0.18	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	6.0	"TEXAS"	"BARTON, JOE L."	2	1	3.0	1.0	0.6666667	1.0	"TX"	44.0	"7"	1.0	13.0	0.0	1.0	1949-09-15	47.0	0.33	48617	0.5105641	0.9085704	0.9	0.32799998	0.9094393	0.36551723	0.32517484	0.2549923	0.58533335	0.5652174	0.52	0.28	0.01	0.03	0.15	0	100	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	2.0	"NEW HAM"	"BASS, CHARLES F."	1	1	2.0	1.0	0.5	1.0	"NH"	30.0	"1"	1.0	3.0	0.0	1.0	1952-01-08	45.0	0.5	41291	0.5161922	0.98096204	0.819	0.249	0.46997434	0.5208333	0.3152174	0.22222222	0.6138614	0.72131145	0.37	0.35	0.0	0.03	0.24	25	30	35	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0
"1997-1998"	105.0	2.0	1.0	"VIRGINI"	"BATEMAN, HERBERT H."	1	1	2.0	1.0	0.5	1.0	"VA"	47.0	"5"	1.0	15.0	0.0	1.0	1928-08-07	68.0	0.4	38176	0.5156233	0.79983896	0.773	0.21100001	0.5602539	0.46741155	0.3363431	0.2874494	0.54264975	0.6042403	0.61	0.14	0.01	0.06	0.17	13	100	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"1997-1998"	105.0	1.0	30.0	"CALIFOR"	"BECERRA, XAVIER"	2	0	2.0	1.0	1.0	2.0	"CA"	5.0	"9"	0.0	5.0	0.0	0.0	1958-01-26	38.0	0.71	24390	0.49228692	0.43562523	0.528	0.161	1.0	0.56766915	0.37880987	0.23116884	0.63414633	0.67287785	0.33	0.32	0.02	0.08	0.25	100	0	80	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	25.0	"TEXAS"	"BENTSEN, KENNETH"	2	0	2.0	1.0	1.0	1.0	"TX"	44.0	"7"	0.0	3.0	0.0	1.0	1959-06-03	37.0	0.51	25899	0.52020097	0.60682213	0.78300005	0.225	0.99031997	0.36551723	0.32517484	0.2549923	0.58533335	0.5652174	0.52	0.28	0.01	0.03	0.15	100	5	95	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
"1997-1998"	105.0	2.0	1.0	"NEBRASK"	"BEREUTER, DOUGLAS K."	0	2	2.0	0.0	0.0	1.0	"NE"	28.0	"4"	1.0	19.0	0.0	1.0	1939-10-06	57.0	0.38	31546	0.51892513	0.9639861	0.814	0.185	0.60732627	0.35135135	0.23188406	0.12328767	0.7	0.4117647	0.53	0.27	0.01	0.02	0.16	13	85	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"1997-1998"	105.0	1.0	26.0	"CALIFOR"	"BERMAN, HOWARD L."	2	0	2.0	1.0	1.0	4.0	"CA"	5.0	"9"	0.0	15.0	0.0	1.0	1941-04-15	55.0	0.65	34273	0.48912737	0.53505284	0.606	0.154	1.0	0.56766915	0.37880987	0.23116884	0.63414633	0.67287785	0.33	0.32	0.02	0.08	0.25	100	5	85	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
"1997-1998"	105.0	1.0	1.0	"ARKANSA"	"BERRY, ROBERT M."	1	1	2.0	1.0	0.5	1.0	"AR"	4.0	"7"	0.0	1.0	0.0	1.0	1942-08-27	54.0	0.58	21889	0.5346817	0.813406	0.583	0.095	0.47209424	0.32520324	0.41666666	0.40816328	0.6825397	0.57894737	0.73	0.07	0.01	0.02	0.17	63	75	35	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1
"1997-1998"	105.0	2.0	49.0	"CALIFOR"	"BILBRAY, BRIAN P."	3	2	5.0	1.0	0.6	2.0	"CA"	5.0	"9"	1.0	3.0	0.0	1.0	1951-01-28	45.0	0.49	40466	0.46844587	0.82070667	0.877	0.33900002	1.0	0.56766915	0.37880987	0.23116884	0.63414633	0.67287785	0.33	0.32	0.02	0.08	0.25	25	60	35	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0
"1997-1998"	105.0	2.0	9.0	"FLORIDA"	"BILIRAKIS, MICHAEL"	0	2	2.0	0.0	0.0	2.0	"FL"	10.0	"5"	1.0	15.0	0.0	1.0	1930-07-16	66.0	0.44	34585	0.5307597	0.9463235	0.799	0.198	0.8102656	0.3923445	0.3932927	0.274359	0.61662817	0.59574467	0.48	0.26	0.01	0.07	0.18	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	1.0	2.0	"GEORGIA"	"BISHOP, SANFORD D., JR."	0	0	0.0	0.0	0.0	1.0	"GA"	11.0	"5"	0.0	5.0	0.0	0.0	1947-02-04	49.0	0.49	21558	0.5367589	0.41966438	0.576	0.096999995	0.62850535	0.34615386	0.44727272	0.2524272	0.62702703	0.6315789	0.69	0.08	0.02	0.05	0.16	88	30	55	1	0	0	0	1	1	0	1	1	1	0	0	1	0	1	1	0	1	0	1
"1997-1998"	105.0	1.0	5.0	"ILLINOI"	"BLAGOJEVICH, ROD R."	1	0	1.0	1.0	1.0	2.0	"IL"	14.0	"3"	0.0	1.0	0.0	1.0	1956-12-10	40.0	0.63	40112	0.52601457	0.8682169	0.736	0.261	0.9991654	0.44573644	0.4278846	0.2007874	0.66159695	0.6785714	0.46	0.29	0.0	0.06	0.19	100	5	85	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
"1997-1998"	105.0	2.0	7.0	"VIRGINI"	"BLILEY, THOMAS J."	1	1	2.0	1.0	0.5	2.0	"VA"	47.0	"5"	1.0	17.0	0.0	1.0	1932-01-28	64.0	0.35	45357	0.5297047	0.8780826	0.819	0.305	0.7352531	0.46741155	0.3363431	0.2874494	0.54264975	0.6042403	0.61	0.14	0.01	0.06	0.17	0	100	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"1997-1998"	105.0	1.0	3.0	"OREGON"	"BLUMENAUER, EARL"	1	1	2.0	1.0	0.5	0.0	"OR"	38.0	"9"	0.0	1.0	0.0	1.0	1948-08-16	48.0	0.58	32627	0.52477473	0.8726342	0.815	0.19	0.94203514	0.5762712	0.42857143	0.0877193	0.5	0.66	0.46	0.14	0.05	0.06	0.29	100	5	85	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
"1997-1998"	105.0	2.0	7.0	"MISSOUR"	"BLUNT, ROY"	1	2	3.0	1.0	0.33333334	1.0	"MO"	26.0	"4"	1.0	1.0	0.0	1.0	1950-01-10	47.0	0.37	26368	0.5289779	0.9734462	0.72900003	0.146	0.5203137	0.4362416	0.26717559	0.23448277	0.6092715	0.64634144	0.56	0.19	0.02	0.02	0.21	13	100	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"1997-1998"	105.0	2.0	23.0	"NEW YOR"	"BOEHLERT, SHERWOOD L."	3	1	4.0	1.0	0.75	2.0	"NY"	33.0	"2"	1.0	15.0	0.0	1.0	1936-09-28	60.0	0.46	31352	0.51842433	0.95818293	0.754	0.159	0.4520546	0.56880736	0.4726477	0.17092338	0.588551	0.7051282	0.3	0.38	0.0	0.12	0.19	88	10	70	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0
"1997-1998"	105.0	2.0	8.0	"OHIO"	"BOEHNER, JOHN A."	2	0	2.0	1.0	1.0	2.0	"OH"	36.0	"3"	1.0	7.0	0.0	1.0	1949-11-17	47.0	0.37	36254	0.5230059	0.9621861	0.754	0.148	0.6197099	0.38059703	0.36507937	0.19574468	0.5441176	0.59006214	0.54	0.19	0.01	0.06	0.2	0	100	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	23.0	"TEXAS"	"BONILLA, HENRY"	1	1	2.0	1.0	0.5	1.0	"TX"	44.0	"7"	1.0	5.0	0.0	0.0	1954-01-02	43.0	0.5	24064	0.521247	0.7387309	0.597	0.16600001	0.7517312	0.36551723	0.32517484	0.2549923	0.58533335	0.5652174	0.52	0.28	0.01	0.03	0.15	13	89	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
"1997-1998"	105.0	1.0	10.0	"MICHIGA"	"BONIOR, DAVID E."	1	2	3.0	1.0	0.33333334	2.0	"MI"	23.0	"3"	0.0	21.0	0.0	1.0	1945-06-06	51.0	0.49	42003	0.5226737	0.9649526	0.773	0.128	0.8327515	0.38826185	0.33618233	0.23383084	0.64835167	0.6156863	0.53	0.23	0.01	0.06	0.19	75	65	80	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	2.0	44.0	"CALIFOR"	"BONO, SONNY"	3	1	4.0	1.0	0.75	2.0	"CA"	5.0	"9"	1.0	3.0	0.0	1.0	1935-02-16	61.0	0.44	33293	0.5119319	0.76504374	0.71300006	0.132	0.8646286	0.56766915	0.37880987	0.23116884	0.63414633	0.67287785	0.33	0.32	0.02	0.08	0.25	0	90	15	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
"1997-1998"	105.0	1.0	3.0	"PENNSYL"	"BORSKI, ROBERT A., JR."	4	1	5.0	1.0	0.8	2.0	"PA"	39.0	"2"	0.0	15.0	0.0	1.0	1948-10-20	48.0	0.61	35441	0.53489035	0.89270604	0.666	0.127	1.0	0.42366412	0.41968912	0.17213115	0.47565544	0.6730769	0.48	0.27	0.01	0.06	0.18	63	84	65	0	1	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	3.0	"IOWA"	"BOSWELL, LEONARD L."	2	1	3.0	1.0	0.6666667	3.0	"IA"	16.0	"4"	0.0	1.0	0.0	1.0	1934-01-10	63.0	0.5	30286	0.51915175	0.9748946	0.79300004	0.157	0.53718084	0.375	0.32	0.17948718	0.52272725	0.65217394	0.52	0.23	0.0	0.06	0.18	88	25	65	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1
"1997-1998"	105.0	1.0	9.0	"VIRGINI"	"BOUCHER, FREDERICK C."	0	0	0.0	0.0	0.0	1.0	"VA"	47.0	"5"	0.0	15.0	0.0	1.0	1946-08-01	50.0	0.46	25166	0.52158445	0.96572244	0.576	0.117	0.2873093	0.46741155	0.3363431	0.2874494	0.54264975	0.6042403	0.61	0.14	0.01	0.06	0.17	88	11	85	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
"1997-1998"	105.0	1.0	2.0	"FLORIDA"	"BOYD, F. ALLEN, JR."	1	2	3.0	1.0	0.33333334	1.0	"FL"	10.0	"5"	0.0	1.0	0.0	1.0	1945-06-06	51.0	0.47	28560	0.5178614	0.7485756	0.71599996	0.195	0.5373134	0.3923445	0.3932927	0.274359	0.61662817	0.59574467	0.48	0.26	0.01	0.07	0.18	75	40	50	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1
"1997-1998"	105.0	2.0	8.0	"TEXAS"	"BRADY, KEVIN"	0	0	0.0	0.0	0.0	2.0	"TX"	44.0	"7"	1.0	1.0	0.0	1.0	1955-11-04	41.0	0.27	42696	0.5061731	0.8949696	0.83	0.292	0.6527427	0.36551723	0.32517484	0.2549923	0.58533335	0.5652174	0.52	0.28	0.01	0.03	0.15	0	100	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"1997-1998"	105.0	1.0	3.0	"FLORIDA"	"BROWN, CORRINE"	1	0	1.0	1.0	1.0	1.0	"FL"	10.0	"5"	0.0	5.0	1.0	0.0	1946-11-11	50.0	0.58	23685	0.5315688	0.431125	0.632	0.099	0.8391112	0.3923445	0.3932927	0.274359	0.61662817	0.59574467	0.48	0.26	0.01	0.07	0.18	100	5	95	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	42.0	"CALIFOR"	"BROWN, GEORGE E., JR."	0	6	6.0	0.0	0.0	1.0	"CA"	5.0	"9"	0.0	33.0	0.0	1.0	1920-03-26	76.0	0.53	36818	0.51268846	0.6601451	0.72199994	0.127	0.99501085	0.56766915	0.37880987	0.23116884	0.63414633	0.67287785	0.33	0.32	0.02	0.08	0.25	100	5	95	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	13.0	"OHIO"	"BROWN, SHERROD"	2	0	2.0	1.0	1.0	1.0	"OH"	36.0	"3"	0.0	5.0	0.0	1.0	1952-11-09	44.0	0.46	39210	0.5196376	0.9359706	0.786	0.165	0.6406706	0.38059703	0.36507937	0.19574468	0.5441176	0.59006214	0.54	0.19	0.01	0.06	0.2	100	5	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"1997-1998"	105.0	2.0	7.0	"TENNESS"	"BRYANT, EDWARD G."	0	3	3.0	0.0	0.0	1.0	"TN"	43.0	"6"	1.0	3.0	0.0	1.0	1948-09-07	48.0	0.41	33405	0.5156626	0.86178654	0.725	0.186	0.57188195	0.3266129	0.35164836	0.24770643	0.63492066	0.5067568	0.76	0.06	0.0	0.03	0.14	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	4.0	"KENTUCK"	"BUNNING, JIM"	5	4	9.0	1.0	0.5555556	2.0	"KY"	18.0	"6"	1.0	11.0	0.0	1.0	1931-10-23	65.0	0.41	31257	0.5236524	0.973058	0.676	0.134	0.5388111	0.2		0.0	0.8125	0.6	0.61	0.14	0.01	0.05	0.19	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	5.0	"NORTH C"	"BURR, RICHARD M."	0	2	2.0	0.0	0.0	1.0	"NC"	34.0	"5"	1.0	3.0	0.0	1.0	1955-11-30	41.0	0.41	30996	0.5307289	0.8390564	0.65300006	0.148	0.39576855	0.2704918	0.44594595	0.20408164	0.75	0.6625	0.69	0.1	0.01	0.05	0.15	25	100	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
"1997-1998"	105.0	2.0	6.0	"INDIANA"	"BURTON, DANNY L."	2	1	3.0	1.0	0.6666667	1.0	"IN"	15.0	"3"	1.0	15.0	0.0	1.0	1938-06-21	58.0	0.28	44668	0.5279385	0.97726434	0.85300004	0.26700002	0.7617132	0.24340177	0.26408452	0.25236592	0.53846157	0.5257143	0.55	0.2	0.01	0.05	0.19	0	100	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	5.0	"INDIANA"	"BUYER, STEVE"	1	1	2.0	1.0	0.5	1.0	"IN"	15.0	"3"	1.0	5.0	0.0	1.0	1958-11-26	38.0	0.37	32210	0.5231464	0.96679926	0.751	0.109	0.42290702	0.24340177	0.26408452	0.25236592	0.53846157	0.5257143	0.55	0.2	0.01	0.05	0.19	13	100	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
"1997-1998"	105.0	1.0	1.0	"ALABAMA"	"CALLAHAN, HERBERT L. (SONNY)"	1	4	5.0	1.0	0.2	2.0	"AL"	1.0	"6"	0.0	13.0	0.0	1.0	1932-09-11	64.0	0.39	27360	0.5350153	0.6985011	0.689	0.147	0.65916646	0.29707113	0.5	0.31400967	0.5483871	0.53435117	0.69	0.13	0.02	0.04	0.12	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	43.0	"CALIFOR"	"CALVERT, KEN"	0	0	0.0	0.0	0.0	1.0	"CA"	5.0	"9"	1.0	5.0	0.0	1.0	1953-06-08	43.0	0.43	41812	0.49785298	0.7573364	0.764	0.157	0.85963297	0.56766915	0.37880987	0.23116884	0.63414633	0.67287785	0.33	0.32	0.02	0.08	0.25	0	100	10	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	4.0	"MICHIGA"	"CAMP, DAVID LEE"	0	1	1.0	0.0	0.0	2.0	"MI"	23.0	"3"	1.0	7.0	0.0	1.0	1953-07-09	43.0	0.47	30754	0.5144354	0.9713989	0.76199996	0.135	0.28101957	0.38826185	0.33618233	0.23383084	0.64835167	0.6156863	0.53	0.23	0.01	0.06	0.19	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	15.0	"CALIFOR"	"CAMPBELL, TOM"	0	0	0.0	0.0	0.0	2.0	"CA"	5.0	"9"	1.0	9.0	0.0	1.0	1952-08-14	44.0	0.53	57300	0.5059962	0.8224163	0.883	0.348	0.9593002	0.56766915	0.37880987	0.23116884	0.63414633	0.67287785	0.33	0.32	0.02	0.08	0.25	38	5	55	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1
"1997-1998"	105.0	2.0	12.0	"FLORIDA"	"CANADY, CHARLES T."	0	0	0.0	0.0	0.0	1.0	"FL"	10.0	"5"	1.0	5.0	0.0	1.0	1954-06-22	42.0	0.43	29239	0.52268505	0.8414134	0.67	0.13	0.6625625	0.3923445	0.3932927	0.274359	0.61662817	0.59574467	0.48	0.26	0.01	0.07	0.18	0	100	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	3.0	"UTAH"	"CANNON, CHRISTOPHER B."	5	2	7.0	1.0	0.71428573	3.0	"UT"	45.0	"8"	1.0	1.0	0.0	1.0	1950-10-20	46.0	0.29	29629	0.51457715	0.9312473	0.821	0.186	0.7748349	0.45652175	0.5	0.15116279	0.38043478	0.73333335	0.12	0.06	0.57	0.04	0.21	13	100	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"1997-1998"	105.0	1.0	22.0	"CALIFOR"	"CAPPS, WALTER"	2	1	3.0	1.0	0.6666667	1.0	"CA"	5.0	"9"	0.0	1.0	0.0	1.0	1934-05-05	62.0	0.44	39631	0.49554834	0.8166318	0.814	0.253	0.8852644	0.56766915	0.37880987	0.23116884	0.63414633	0.67287785	0.33	0.32	0.02	0.08	0.25	100	58	75	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1
"1997-1998"	105.0	1.0	3.0	"MARYLAN"	"CARDIN, BENJAMIN L."	1	1	2.0	1.0	0.5	4.0	"MD"	21.0	"5"	0.0	11.0	0.0	1.0	1943-10-05	53.0	0.58	41804	0.533801	0.79517466	0.751	0.272	0.9814098	0.5591398	0.40397352	0.17159763	0.62827224	0.7425743	0.5	0.22	0.03	0.07	0.18	100	5	85	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
"1997-1998"	105.0	1.0	10.0	"INDIANA"	"CARSON, JULIA M."	1	1	2.0	1.0	0.5	1.0	"IN"	15.0	"3"	0.0	1.0	1.0	0.0	1938-07-08	58.0	0.54	29818	0.5387757	0.68572694	0.71599996	0.169	1.0	0.24340177	0.26408452	0.25236592	0.53846157	0.5257143	0.55	0.2	0.01	0.05	0.19	88	0	85	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1
